solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,conflict_literals,memory_reported_mb
minisat,PRP_100_600.cnf,benchmarks/PRP_100_600.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,mchess16-mixed-35percent-blocked.cnf,benchmarks/mchess16-mixed-35percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,24_0.cnf,benchmarks/24_0.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,WS_500_16_70_10.apx_2_DC-ST.cnf,benchmarks/WS_500_16_70_10.apx_2_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SCPC-700-86.cnf,benchmarks/SCPC-700-86.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_71_0.25.cnf,benchmarks/brent_71_0.25.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,satcoin-genesis-UNSAT-7200.cnf,benchmarks/satcoin-genesis-UNSAT-7200.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SC23_Timetable_C_473_E_45_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_473_E_45_Cl_32_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SCPC-800-46.cnf,benchmarks/SCPC-800-46.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_69_0.05.cnf,benchmarks/brent_69_0.05.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,mchess22-mixed-25percent-blocked.cnf,benchmarks/mchess22-mixed-25percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,tseitingrid7x160_shuffled-sc2016.cnf,benchmarks/tseitingrid7x160_shuffled-sc2016.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,rphp_p20_r20.cnf,benchmarks/rphp_p20_r20.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,php-010-009.shuffled-as.sat05-1185.cnf,benchmarks/php-010-009.shuffled-as.sat05-1185.cnf,UNSAT,2.6947450637817383,20.0,False,False,470096.0,569313.0,6139619.0,1023.0,90.0,415.0,2.66524,12917311.0,82.2
minisat,mchess20-mixed-35percent-blocked.cnf,benchmarks/mchess20-mixed-35percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_19.cnf,benchmarks/hash_table_find_safety_size_19.cnf,UNSAT,67.93527364730835,20.0,False,False,14059.0,1330865.0,363659529.0,61.0,10735052.0,43043255.0,65.8488,1696133.0,5444.96
minisat,sat-bench-trig-taylor2.cnf,benchmarks/sat-bench-trig-taylor2.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,asconhashv12_opt64_H13_M2-NBRdIKEb8MS2W_m3_5.c.cnf,benchmarks/asconhashv12_opt64_H13_M2-NBRdIKEb8MS2W_m3_5.c.cnf,SAT,105.47660732269289,10.0,False,False,116011.0,546943.0,674981865.0,315.0,158736.0,372445.0,104.12,5908086.0,158.7
minisat,WS_500_32_50_10.apx_2_DC-AD.cnf,benchmarks/WS_500_32_50_10.apx_2_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,T87.2.0.cnf,benchmarks/T87.2.0.cnf,UNSAT,243.4559154510498,20.0,False,False,336092.0,1701998.0,1422444291.0,781.0,3165161.0,10917078.0,240.846,16583237.0,1954.75
minisat,grid-pbl-0150.shuffled-as.sat05-1347.shuffled-as.sat05-1347.cnf,benchmarks/grid-pbl-0150.shuffled-as.sat05-1347.shuffled-as.sat05-1347.cnf,UNSAT,106.15075826644896,20.0,False,False,0.0,0.0,4.0,0.0,22650.0,44850.0,0.081347,0.0,89.51
minisat,hash_table_find_safety_size_15.cnf,benchmarks/hash_table_find_safety_size_15.cnf,UNSAT,58.2506217956543,20.0,False,False,8886.0,832311.0,223959343.0,38.0,7780787.0,31081601.0,56.0572,1074288.0,4040.28
minisat,spg_420_280.cnf,benchmarks/spg_420_280.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SCPC-700-81.cnf,benchmarks/SCPC-700-81.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,posixpath_expanduser_14.cnf,benchmarks/posixpath_expanduser_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,intervals7.cnf,benchmarks/intervals7.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,vmpc_24.cnf,benchmarks/vmpc_24.cnf,SAT,9.81125283241272,10.0,False,False,200528.0,357130.0,20991167.0,510.0,576.0,67872.0,9.66647,4583231.0,103.38
minisat,or_randxor_k3_n640_m640.cnf,benchmarks/or_randxor_k3_n640_m640.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,grid_10_20.shuffled.cnf,benchmarks/grid_10_20.shuffled.cnf,UNSAT,0.0209534168243408,20.0,False,False,0.0,0.0,2.0,0.0,398.0,741.0,0.002589,0.0,82.32
minisat,intervals244.cnf,benchmarks/intervals244.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,DecompressReader_read_12.cnf,benchmarks/DecompressReader_read_12.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,WCNFPlus_from_fp_13.cnf,benchmarks/WCNFPlus_from_fp_13.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,mchess22-mixed-45percent-blocked.cnf,benchmarks/mchess22-mixed-45percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,intervals467.cnf,benchmarks/intervals467.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,benchmarks/shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,UNSAT,29.76050615310669,20.0,False,False,19793.0,139192.0,76556296.0,68.0,505536.0,1595120.0,25.943,2114084.0,341.6
minisat,PRP_30_38.cnf,benchmarks/PRP_30_38.cnf,SAT,148.66979265213013,10.0,False,False,1869842.0,24199940.0,647588904.0,3581.0,177404.0,1055410.0,146.827,41043461.0,446.79
